Province,Province Name En,Province Name Ne,District Id,District Code,District Name En,District Name Ne,GAPA Id,GAPA Code,GaPa Name En,GaPa Name Ne,Total Wards
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,11,20111,Rajgadh Gaunpalika,राजगढ गाउँपालिका,6
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,12,20112,Bishnupur Gaunpalika,बिष्णुपुर गाउँपालिका,7
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,13,20113,Rajbiraj Municipality,राजविराज नगरपालिका,16
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,14,20114,Mahadewa Gaunpalika,महादेवा गाउँपालिका,6
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,15,20115,Tirahut Gaunpalika,तिरहुत गाउँपालिका,5
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,16,20116,Hanumannagar Kankalini Municipality,हनुमाननगर कङ्कालिनी नगरपालिका,14
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,17,20117,Tilathi Koiladi Gaunpalika,तिलाठी कोईलाडी गाउँपालिका,8
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,18,20118,Chhinnamasta Gaunpalika,छिन्नमस्ता गाउँपालिका,7
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,1,20201,Lahan Municipality,लहान नगरपालिका,24
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,2,20202,Dhangadhimai Municipality,धनगढीमाई नगरपालिका,14
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,3,20203,Golbazar Municipality,गोलबजार नगरपालिका,13
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,4,20204,Mirchaiya Municipality,मिर्चेया नगरपालिका,12
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,5,20205,Karjanha Municipality,कर्जन्हा नगरपालिका,11
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,6,20206,Kalyanpur Municipality,कल्याणपुर नगरपालिका,12
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,7,20207,Naraha Gaunpalika,नरहा गाउँपालिका,5
2,Province No. 2,प्रदेश २,16,202,Siraha,सिरहा,8,20208,Bishnupur Gaunpalika,बिष्णुपुर गाउँपालिका,5
